text,category
chair legs unequal wobbles when sitting,Furniture
no idli on breakfast menu as promised,Mess
food tastes recycled from previous meal,Mess
room dustbin not emptied for two days,Housekeeping
cleaning chemicals smell very strong harmful,Housekeeping
wifi signal too weak in my room,Internet
mess not following Sunday special menu,Mess
washroom not mopped water marks remain,Housekeeping
room has only one working socket,Electrical
mess contractor changed quality reduced sharply,Mess
corridor near mess always dirty after meals,Housekeeping
sabzi quantity very less for price paid,Mess
less quantity of food in dinner,Mess
hostel terrace full of garbage,Housekeeping
water pressure drops when multiple taps open,Plumbing
cupboard smell very bad needs cleaning,Furniture
router firmware needs update nobody checking,Internet
fan making noise and then stopped,Electrical
toilet flush chain broken not flushing,Plumbing
chapati only three given not enough,Mess
corridor badly smelling from drain area,Housekeeping
dimmer switch not working at all,Electrical
mess food causing stomach problems today,Mess
power issues affecting entire hostel block,Electrical
letter received at wrong room address,Other
router placed too far from rooms,Internet
mattress not given to new student,Furniture
network down in entire hostel block,Internet
room light fused during exam week,Electrical
sweeper cleaning only corridor not rooms,Housekeeping
chapati burning marks served anyway,Mess
internet disconnects during practical viva prep,Internet
room light went off won't come back,Electrical
room door not closing properly,Other
general hostel maintenance very poor,Other
tap dripping disturbing sleep at night,Plumbing
rice serving very less cannot be full,Mess
table surface not smooth splinters possible,Furniture
bed spring noise waking up roommate,Furniture
food quality inconsistent day to day,Mess
sweeper not following cleaning schedule,Housekeeping
bathroom smell very strong needs cleaning,Housekeeping
cupboard door panel cracked from inside,Furniture
loud vehicle parking near hostel block,Other
router restarted but still no internet,Internet
mattress provided not fresh unhygienic,Furniture
sweeper not coming to clean room,Housekeeping
no electricity in room after 10pm,Electrical
room 206 dusty complained yesterday too,Housekeeping
bed frame cracked noise every movement,Furniture
bathroom always wet ceiling dripping,Plumbing
bed making loud noise when moving,Furniture
wifi not working on linux laptop,Internet
water pressure very low during morning,Plumbing
food quality needs immediate improvement,Mess
no water after pump goes off,Plumbing
room near construction side very dusty,Housekeeping
wifi login session timing out too fast,Internet
room has lizard droppings on wall,Housekeeping
slow internet cannot join online meeting,Internet
chair wheel broken cannot move it,Furniture
hostel register not updated new student,Other
cleaning not done before hostel event,Housekeeping
no phenyl used during toilet cleaning,Housekeeping
slow connection frustrating during project work,Internet
network issues started after maintenance yesterday,Internet
network congestion during competitive exam prep,Internet
sink pipe disconnected under basin,Plumbing
internet cuts out every night around nine,Internet
mess serving extra charge for second helping,Mess
wifi drops every time someone calls,Internet
mess open late students late to class,Mess
bed headboard broken piece fallen,Furniture
sweeping done but mopping skipped daily,Housekeeping
sweet dish missing from weekend dinner,Mess
bathroom leaking seeping to room below,Plumbing
power cut scheduled but not informed,Electrical
chair wooden piece broken from base,Furniture
roommate having calls on speaker at night,Other
no connectivity during viva submission night,Internet
table leg broken needs immediate fix,Furniture
toilet not cleaned before morning usage,Housekeeping
room 302 requesting deep cleaning urgently,Housekeeping
chair joint broken falling when sat,Furniture
mattress sinking middle too old,Furniture
general maintenance issue unaddressed for days,Other
no water in third floor bathroom,Plumbing
extension board socket burnt in room,Electrical
bed plank sagging in center,Furniture
light switch short circuiting,Electrical
cupboard wood swollen door not fitting,Furniture
no wifi coverage near bathroom area,Internet
food quantity per person reducing weekly,Mess
pipe crack noticed near water meter,Plumbing
ants in room garbage not removed,Housekeeping
electricity restored but light still off,Electrical
common television remote missing,Other
no internet in room since three days,Internet
no supply to wing D bathrooms,Plumbing
no internet during scheduled maintenance window,Internet
internet plan expired nobody renewed it,Internet
chair needs replacement very old,Furniture
common bathroom very unhygienic condition,Housekeeping
bathroom tap not functioning for two days,Plumbing
dinner not ready even at nine pm,Mess
no network in hostel basement area,Internet
no running water since this afternoon,Plumbing
same boring menu since beginning of semester,Mess
hostel entry door lock broken,Other
toilet commode crack needs immediate repair,Plumbing
bed frame nails exposed scratching legs,Furniture
mess water cooler empty during lunch,Mess
no backup power during frequent cuts,Electrical
no internet connectivity for mobile data too,Internet
power cut affecting internet and study,Electrical
study table too high for chair,Furniture
low water pressure morning bathing affected,Plumbing
room 309 has single blown fuse,Electrical
sweeper came but did not clean bathroom,Housekeeping
slow internet cannot download study material,Internet
power went off during online class,Electrical
no wifi in reading room area,Internet
room near bathroom always smells bad,Housekeeping
tap in bathroom not closing properly,Plumbing
eggs missing from breakfast today,Mess
water supply disrupted for past two days,Plumbing
study table very unstable shaking,Furniture
mess food same everyday no variety,Mess
dinner served twenty minutes late again,Mess
no supply to room in daytime also,Electrical
power socket broken near cupboard,Electrical
wifi not working since last night,Internet
mess hall floor dirty after every meal,Mess
noise from construction work near block,Other
sweeper not trained properly poor result,Housekeeping
geyser pilot not staying lit,Plumbing
lights off in common area since morning,Electrical
network disconnecting every few minutes,Internet
geyser not working during exam week,Plumbing
no supply to ground floor today,Plumbing
plug point melted in my room,Electrical
hostel event blocking corridor path,Other
no internet near window side of room,Internet
no hot water for washing hands,Mess
no wifi signal in attached room,Internet
chair plastic seat cracked painful to sit,Furniture
food very spicy students with health issues,Mess
cleaning trolley missing supplies frequently,Housekeeping
wifi signal weak near common area,Internet
water tap broken off from wall,Plumbing
socket behind bed not functional,Electrical
room cleaned only once this entire week,Housekeeping
slow connection affecting video call quality,Internet
network not reachable on fourth floor,Internet
cupboard rod for hanging clothes broken,Furniture
mess counter closed before time today,Mess
ceiling fan stopped suddenly today morning,Electrical
mattress very smelly previous student,Furniture
wifi signal poor near bathroom side room,Internet
mattress edge torn stuffing coming out,Furniture
garbage dumped near hostel garden area,Housekeeping
chair seat plastic broken into pieces,Furniture
socket near washroom area rusted badly,Electrical
room 108 dusty after room allotment,Housekeeping
drain outside blocked water pooling up,Plumbing
attached bathroom black mold on walls,Housekeeping
no light in staircase after dark,Electrical
slow connection even for text messages,Internet
electric socket sparking when plugged in,Electrical
wifi dropping every time it rains,Internet
shelf broken items falling on bed,Furniture
laundry room washing machine broken,Other
floor sticky not mopped properly,Housekeeping
room window mosquito net torn,Other
no proper vegetarian option available today,Mess
no water in buckets during hostel function,Plumbing
cannot connect to hostel wifi network,Internet
food quality deteriorated after new contractor,Mess
garbage accumulating outside hostel entrance,Housekeeping
no cleaning for past entire week,Housekeeping
pipeline vibration loud during night time,Plumbing
chair seat board broken mid exam,Furniture
socket sparking near study table area,Electrical
food taste very different since last week,Mess
washroom heavily stained needs scrubbing,Housekeeping
floor near water cooler always dirty,Housekeeping
sweeper absent room dirty whole day,Housekeeping
dorm room smells bad needs fresh air,Housekeeping
network keeps asking for password again,Internet
no power backup during load shedding,Electrical
parking area flooded no drainage,Other
wifi signal interference from other networks,Internet
chair rocking back not stable,Furniture
mess smell bad from kitchen area,Mess
no cleaning on Sunday whole mess,Housekeeping
wifi speed barely one mbps today,Internet
geyser not responding to temperature setting,Plumbing
